problem_id,app,screen,heuristic,title,mean_severity,median_severity,std_severity,min_severity,max_severity,ratings_count
P010,Deliveroo,Generale,E7;E10,Mancanza di trasparenza informativa,3.5,3.5,0.53,3,4,8
P012,Deliveroo,Checkout / ordine,E3;E5,Assenza di barriere di conferma per transazioni finanziarie gravi,3.38,4.0,0.92,2,4,8
P026,Glovo,Ricerca / filtri,E7;E10,Mancanza di trasparenza informativa,3.38,3.0,0.52,3,4,8
P032,Glovo,Checkout / ordine,E3;E5,Assenza di barriere di conferma per transazioni finanziarie gravi,3.38,3.5,0.74,2,4,8
P030,Glovo,Generale,E3;E7,Assenza di un'interfaccia di consultazione per i partner preferiti,3.12,3.0,0.64,2,4,8
P017,Deliveroo,Checkout / ordine,E3,Comando di annullamento controintuitivo,3.0,3.0,0.53,2,4,8
P024,Glovo,Checkout / ordine,E6;E8,"Oscuramento funzionale della sezione ""Link Account"" nel carrello",3.0,3.0,0.76,2,4,8
P034,Glovo,Checkout / ordine,E3,Comando annullamento controintuitivo,3.0,3.0,0.76,2,4,8
P004,Deliveroo,Generale,E3;E7,"Funzione ""Riordina"" incoerente con il modello mentale dell'utente",2.88,3.0,0.64,2,4,8
P033,Glovo,Checkout / ordine,E3;E5,Sovrascrittura arbitraria del sistema sull'indirizzo di consegna selezionato,2.88,3.0,1.36,0,4,8
P039,Glovo,Checkout / ordine,E1;E9,Deficit di trasparenza sui motivi di annullamento d'ufficio dell'ordine,2.75,3.0,0.71,2,4,8
P035,Glovo,Checkout / ordine,E1,Mancanza di feedback sullo stato di accettazione dell'ordine,2.62,3.0,0.92,1,4,8
P002,Deliveroo,Checkout / ordine,E4;E5,Frammentazione delle informazioni di configurazione dell'ordine,2.5,2.5,0.53,2,3,8
P006,Deliveroo,Generale,E8,Sovraffollamento visivo causato da elementi promozionali invasivi,2.5,2.0,1.31,1,4,8
P007,Deliveroo,Ricerca / filtri,E4;E8,Sistema di filtraggio non conforme agli standard di categoria,2.5,3.0,0.76,1,3,8
P009,Deliveroo,Checkout / ordine,E6,Scarsa evidenza visiva dei modificatori obbligatori di prodotto,2.38,2.5,0.74,1,3,8
P019,Deliveroo,Ricerca / filtri,E1;E6,Stato di operatività dei locali non facilmente visibile,2.38,2.5,0.74,1,3,8
P020,Deliveroo,Generale,E9,Feedback diagnostico incompleto sui campi obbligatori falliti,2.38,2.0,1.19,1,4,8
P028,Glovo,Checkout / ordine,E5,Mancanza di vincoli sintattici per i campi obbligatori nel checkout,2.38,2.5,1.06,1,4,8
P038,Glovo,Generale,E9,Feedback diagnostico incompleto sui modificatori obbligatori falliti,2.38,2.0,1.19,1,4,8
P040,Glovo,Ricerca / filtri,E5;E9,Assenza di tolleranza sistemica agli errori ortografici nella ricerca,2.38,2.0,1.19,1,4,8
P018,Deliveroo,Home,E8,Ridondanza di posizionamento (duplicazione dei brand sponsorizzati),2.25,2.0,0.89,1,4,8
P037,Glovo,Tracking ordine,E1,Incoerenza informativa e fluttuazioni asincrone nel tracking orario,2.25,2.0,0.46,2,3,8
P029,Glovo,Ricerca / filtri,E4;E8,Sistema di filtraggio non conforme agli standard di categoria,2.12,2.0,0.64,1,3,8
P001,Deliveroo,Home,E1;E3,Persistenza del carrello non comunicata visivamente,2.0,2.0,1.07,0,3,8
P003,Deliveroo,Home,E4,Ridondanza e duplicazione dei punti di inserimento dati,2.0,2.0,0.76,1,3,8
P015,Deliveroo,Checkout / ordine,E1,Mancanza di granularità temporale nella Progress Bar di tracking,2.0,2.0,0.93,0,3,8
P022,Glovo,Home,E8,Carenza di gerarchia visiva ed elementi di separazione nella Home,2.0,2.5,1.2,0,3,8
P031,Glovo,Generale,E1;E3,Deficit di accessibilità e visibilità per le informative sui costi,2.0,2.0,0.93,1,3,8
P021,Glovo,Generale,E4,Inclusione di feature social estranee al dominio dell'applicazione,1.88,2.0,0.83,0,3,8
P023,Glovo,Home,E1;E3,Persistenza del carrello non comunicata visivamente,1.88,2.0,1.25,0,3,8
P011,Deliveroo,Generale,E8,Conflitto di navigazione bidimensionale (Scroll asincrono),1.75,2.0,0.89,0,3,8
P013,Deliveroo,Home,E8,Carenza di gerarchia visiva ed elementi di separazione nella Home,1.75,1.5,0.89,1,3,8
P036,Glovo,Checkout / ordine,E2,Carenza di trasparenza e marcatori visivi per i contenuti sponsorizzati,1.75,2.0,0.71,1,3,8
P008,Deliveroo,Sezione specifica,E4,Rottura dell'esperienza d'uso nativa (Web View integrata male),1.62,1.5,0.74,1,3,8
P014,Deliveroo,Ricerca / filtri,E4;E6,Ambiguità e duplicazione nel set iconografico del Design System,1.62,1.5,0.74,1,3,8
P027,Glovo,Generale,E8,Conflitto di navigazione bidimensionale (Scroll asincrono),1.62,2.0,0.92,0,3,8
P025,Glovo,Ricerca / filtri,E4;E6,Ambiguità e ridondanza nel set iconografico del Design System,1.38,1.0,0.52,1,2,8
P005,Deliveroo,Ricerca / filtri,E4,"Incoerenza di layout strutturale nella sezione ""Spesa""",1.12,1.0,0.35,1,2,8
P016,Deliveroo,Recensioni,E2,Codifica cromatica non standard nella schermata di recensione,1.0,1.0,0.53,0,2,8
