problem_id,title,ED1,ED2,ED3,ED4,EU1,EU2,EU3,EU4,mean_severity
P001,Persistenza del carrello non comunicata visivamente,2,0,1,3,3,2,3,2,2.0
P002,Frammentazione delle informazioni di configurazione dell'ordine,3,2,2,3,3,3,2,2,2.5
P003,Ridondanza e duplicazione dei punti di inserimento dati,3,1,2,3,2,2,2,1,2.0
P004,"Funzione ""Riordina"" incoerente con il modello mentale dell'utente",2,3,3,3,4,3,3,2,2.88
P005,"Incoerenza di layout strutturale nella sezione ""Spesa""",2,1,1,1,1,1,1,1,1.12
P006,Sovraffollamento visivo causato da elementi promozionali invasivi,1,4,1,2,4,4,2,2,2.5
P007,Sistema di filtraggio non conforme agli standard di categoria,3,2,3,3,3,3,2,1,2.5
P008,Rottura dell'esperienza d'uso nativa (Web View integrata male),2,1,3,2,1,2,1,1,1.62
P009,Scarsa evidenza visiva dei modificatori obbligatori di prodotto,3,3,3,2,2,3,1,2,2.38
P010,Mancanza di trasparenza informativa,4,4,4,4,3,3,3,3,3.5
P011,Conflitto di navigazione bidimensionale (Scroll asincrono),2,0,3,2,2,2,2,1,1.75
P012,Assenza di barriere di conferma per transazioni finanziarie gravi,4,4,4,2,4,4,3,2,3.38
P013,Carenza di gerarchia visiva ed elementi di separazione nella Home,1,1,2,1,3,2,3,1,1.75
P014,Ambiguità e duplicazione nel set iconografico del Design System,2,2,1,1,2,3,1,1,1.62
P015,Mancanza di granularità temporale nella Progress Bar di tracking,2,3,2,2,2,3,2,0,2.0
P016,Codifica cromatica non standard nella schermata di recensione,1,0,1,1,2,1,1,1,1.0
P017,Comando di annullamento controintuitivo,3,4,3,3,3,3,3,2,3.0
P018,Ridondanza di posizionamento (duplicazione dei brand sponsorizzati),4,2,3,2,1,2,2,2,2.25
P019,Stato di operatività dei locali non facilmente visibile,3,3,3,2,2,3,1,2,2.38
P020,Feedback diagnostico incompleto sui campi obbligatori falliti,2,4,4,2,2,3,1,1,2.38
P021,Inclusione di feature social estranee al dominio dell'applicazione,2,0,2,2,2,2,3,2,1.88
P022,Carenza di gerarchia visiva ed elementi di separazione nella Home,3,3,1,1,3,3,2,0,2.0
P023,Persistenza del carrello non comunicata visivamente,2,0,2,0,3,3,3,2,1.88
P024,"Oscuramento funzionale della sezione ""Link Account"" nel carrello",3,4,4,3,3,3,2,2,3.0
P025,Ambiguità e ridondanza nel set iconografico del Design System,1,1,1,2,2,2,1,1,1.38
P026,Mancanza di trasparenza informativa,4,4,4,3,3,3,3,3,3.38
P027,Conflitto di navigazione bidimensionale (Scroll asincrono),1,0,3,2,2,2,2,1,1.62
P028,Mancanza di vincoli sintattici per i campi obbligatori nel checkout,3,4,2,2,3,3,1,1,2.38
P029,Sistema di filtraggio non conforme agli standard di categoria,2,2,2,2,3,2,3,1,2.12
P030,Assenza di un'interfaccia di consultazione per i partner preferiti,3,3,3,3,4,4,3,2,3.12
P031,Deficit di accessibilità e visibilità per le informative sui costi,1,3,3,2,2,3,1,1,2.0
P032,Assenza di barriere di conferma per transazioni finanziarie gravi,3,4,4,2,4,4,3,3,3.38
P033,Sovrascrittura arbitraria del sistema sull'indirizzo di consegna selezionato,3,4,4,0,2,4,3,3,2.88
P034,Comando annullamento controintuitivo,2,4,4,3,3,3,3,2,3.0
P035,Mancanza di feedback sullo stato di accettazione dell'ordine,3,3,3,2,4,3,2,1,2.62
P036,Carenza di trasparenza e marcatori visivi per i contenuti sponsorizzati,1,1,2,3,1,2,2,2,1.75
P037,Incoerenza informativa e fluttuazioni asincrone nel tracking orario,2,3,2,2,2,3,2,2,2.25
P038,Feedback diagnostico incompleto sui modificatori obbligatori falliti,2,4,4,2,2,3,1,1,2.38
P039,Deficit di trasparenza sui motivi di annullamento d'ufficio dell'ordine,3,3,3,2,3,4,2,2,2.75
P040,Assenza di tolleranza sistemica agli errori ortografici nella ricerca,2,4,4,1,2,3,2,1,2.38
