ID problema,App,Problema,Euristiche,Severità media,Priorità
P001,Deliveroo,Persistenza del carrello non comunicata visivamente,E1;E3,2.0,B
P002,Deliveroo,Frammentazione delle informazioni di configurazione dell'ordine,E4;E5,2.5,B
P003,Deliveroo,Ridondanza e duplicazione dei punti di inserimento dati,E4,2.0,B
P004,Deliveroo,"Funzione ""Riordina"" incoerente con il modello mentale dell'utente",E3;E7,2.88,B
P005,Deliveroo,"Incoerenza di layout strutturale nella sezione ""Spesa""",E4,1.12,C
P006,Deliveroo,Sovraffollamento visivo causato da elementi promozionali invasivi,E8,2.5,B
P007,Deliveroo,Sistema di filtraggio non conforme agli standard di categoria,E4;E8,2.5,B
P008,Deliveroo,Rottura dell'esperienza d'uso nativa (Web View integrata male),E4,1.62,C
P009,Deliveroo,Scarsa evidenza visiva dei modificatori obbligatori di prodotto,E6,2.38,B
P010,Deliveroo,Mancanza di trasparenza informativa,E7;E10,3.5,A
P011,Deliveroo,Conflitto di navigazione bidimensionale (Scroll asincrono),E8,1.75,C
P012,Deliveroo,Assenza di barriere di conferma per transazioni finanziarie gravi,E3;E5,3.38,A
P013,Deliveroo,Carenza di gerarchia visiva ed elementi di separazione nella Home,E8,1.75,C
P014,Deliveroo,Ambiguità e duplicazione nel set iconografico del Design System,E4;E6,1.62,C
P015,Deliveroo,Mancanza di granularità temporale nella Progress Bar di tracking,E1,2.0,B
P016,Deliveroo,Codifica cromatica non standard nella schermata di recensione,E2,1.0,C
P017,Deliveroo,Comando di annullamento controintuitivo,E3,3.0,B
P018,Deliveroo,Ridondanza di posizionamento (duplicazione dei brand sponsorizzati),E8,2.25,B
P019,Deliveroo,Stato di operatività dei locali non facilmente visibile,E1;E6,2.38,B
P020,Deliveroo,Feedback diagnostico incompleto sui campi obbligatori falliti,E9,2.38,B
P021,Glovo,Inclusione di feature social estranee al dominio dell'applicazione,E4,1.88,C
P022,Glovo,Carenza di gerarchia visiva ed elementi di separazione nella Home,E8,2.0,B
P023,Glovo,Persistenza del carrello non comunicata visivamente,E1;E3,1.88,C
P024,Glovo,"Oscuramento funzionale della sezione ""Link Account"" nel carrello",E6;E8,3.0,B
P025,Glovo,Ambiguità e ridondanza nel set iconografico del Design System,E4;E6,1.38,C
P026,Glovo,Mancanza di trasparenza informativa,E7;E10,3.38,A
P027,Glovo,Conflitto di navigazione bidimensionale (Scroll asincrono),E8,1.62,C
P028,Glovo,Mancanza di vincoli sintattici per i campi obbligatori nel checkout,E5,2.38,B
P029,Glovo,Sistema di filtraggio non conforme agli standard di categoria,E4;E8,2.12,B
P030,Glovo,Assenza di un'interfaccia di consultazione per i partner preferiti,E3;E7,3.12,B
P031,Glovo,Deficit di accessibilità e visibilità per le informative sui costi,E1;E3,2.0,B
P032,Glovo,Assenza di barriere di conferma per transazioni finanziarie gravi,E3;E5,3.38,A
P033,Glovo,Sovrascrittura arbitraria del sistema sull'indirizzo di consegna selezionato,E3;E5,2.88,B
P034,Glovo,Comando annullamento controintuitivo,E3,3.0,B
P035,Glovo,Mancanza di feedback sullo stato di accettazione dell'ordine,E1,2.62,B
P036,Glovo,Carenza di trasparenza e marcatori visivi per i contenuti sponsorizzati,E2,1.75,C
P037,Glovo,Incoerenza informativa e fluttuazioni asincrone nel tracking orario,E1,2.25,B
P038,Glovo,Feedback diagnostico incompleto sui modificatori obbligatori falliti,E9,2.38,B
P039,Glovo,Deficit di trasparenza sui motivi di annullamento d'ufficio dell'ordine,E1;E9,2.75,B
P040,Glovo,Assenza di tolleranza sistemica agli errori ortografici nella ricerca,E5;E9,2.38,B
