problem_id,app,title,description,heuristic,source_count,notes,severity_mean,ratings_count,priority_band,priority_rank
P010,Deliveroo,Mancanza di trasparenza informativa,"Il sistema non mette a disposizione tutte le informazioni importanti per l’utente. Ad esempio, nella sezione ""Allergeni"" di ciascun prodotto, non vengono mostrati dati di riferimento esplicitamente: l'utente viene rimandato a canali di contatto esterni (es. telefono del locale), interrompendo il flusso informativo.",E7;E10,3,"Original ID: PD10; valutatori: ED1, EU2, EU4",3.5,8,A,0
P012,Deliveroo,Assenza di barriere di conferma per transazioni finanziarie gravi,"Il pulsante di finalizzazione dell'ordine esegue l'addebito economico in modo immediato e automatico con un singolo tocco, senza presentare una finestra di dialogo intermedia per la prevenzione di tocchi d'errore.",E3;E5,3,"Original ID: PD12; valutatori: EU1, ED1, ED2",3.38,8,A,0
P017,Deliveroo,Comando di annullamento controintuitivo,"Il comando per richiedere l'annullamento di un ordine non gode di rilevanza visiva ed è subordinato gerarchicamente alla voce ""Aiuto"", ostacolando il diritto dell'utente al controllo tempestivo.",E3,3,"Original ID: PD17; valutatori: EU1, ED1, EU4",3.0,8,B,1
P004,Deliveroo,"Funzione ""Riordina"" incoerente con il modello mentale dell'utente","La sezione ""Riordina"" suggerisce la possibilità di replicare un acquisto pregresso con un singolo tocco; l'azione reindirizza, invece, alla pagina generale del ristorante, costringendo a reinserire manualmente i prodotti.",E3;E7,3,"Original ID: PD04; valutatori: EU1, ED1, EU3",2.88,8,B,1
P002,Deliveroo,Frammentazione delle informazioni di configurazione dell'ordine,"Le impostazioni relative a orario di consegna, indirizzo e modalità di pagamento sono frammentate tra la schermata del carrello e la pagina finale di checkout, aumentando il carico procedurale.",E4;E5,4,"Original ID: PD02; valutatori: EU1, ED1, EU2, EU3",2.5,8,B,1
P007,Deliveroo,Sistema di filtraggio non conforme agli standard di categoria,"L'architettura dei filtri non segue criteri di ordinamento logici o categorizzati, disorientando l'utente durante la navigazione.",E4;E8,4,"Original ID: PD07; valutatori: EU1, ED1, EU2, EU3",2.5,8,B,1
P006,Deliveroo,Sovraffollamento visivo causato da elementi promozionali invasivi,La presenza diffusa di banner pubblicitari non integrati armonicamente nel layout degrada l'esperienza d'uso complessiva e riduce la visibilità dei contenuti informativi primari.,E8,1,Original ID: PD06; valutatori: EU2,2.5,8,B,1
P009,Deliveroo,Scarsa evidenza visiva dei modificatori obbligatori di prodotto,"Durante la configurazione di un articolo da aggiungere al carrello, la distinzione grafica tra i campi di selezione opzionali e quelli strettamente obbligatori risulta insufficiente e ambigua.",E6,5,"Original ID: PD09; valutatori: EU1, ED1, ED2, EU3, EU4",2.38,8,B,1
P019,Deliveroo,Stato di operatività dei locali non facilmente visibile,"Nella schermata principale e nei risultati di ricerca, l'applicazione non differenzia in modo visivamente netto e immediato i partner commerciali momentaneamente chiusi da quelli attivi, aumentando il carico visivo e costringendo alla lettura analitica delle singole card.",E1;E6,0,Original ID: PD19; valutatori:,2.38,8,B,1
P020,Deliveroo,Feedback diagnostico incompleto sui campi obbligatori falliti,"In caso di mancata compilazione di un campo obbligatorio, il sistema evidenzia l'area ma non esplicita la natura dell'errore (es. numero di opzioni minime richieste non soddisfatte), impedendo un recupero rapido.",E9,0,Original ID: PD20; valutatori:,2.38,8,B,1
P018,Deliveroo,Ridondanza di posizionamento (duplicazione dei brand sponsorizzati),"Nella lista dei ristoranti popolari in Home, i marchi partner sponsorizzati possono comparire ripetuti più volte all'interno dello stesso elenco, violando il principio di minimalizzazione dei dati.",E8,1,Original ID: PD18; valutatori: EU4,2.25,8,B,1
P001,Deliveroo,Persistenza del carrello non comunicata visivamente,"Se l'utente aggiunge prodotti al carrello all'interno della pagina di un locale e naviga a ritroso verso la Home, il carrello viene memorizzato in background senza alcuna notifica o indicatore grafico persistente nell'interfaccia principale.",E1;E3,4,"Original ID: PD01; valutatori: EU1, ED1, EU3, EU4",2.0,8,B,1
P003,Deliveroo,Ridondanza e duplicazione dei punti di inserimento dati,"I campi relativi all'indirizzo e all'orario di consegna risultano configurabili sia nella Home sia durante i successivi passaggi di checkout, generando ridondanza informativa.",E4,2,"Original ID: PD03; valutatori: EU2, EU3",2.0,8,B,1
P015,Deliveroo,Mancanza di granularità temporale nella Progress Bar di tracking,"La barra di avanzamento dello stato dell'ordine fornisce un feedback puramente qualitativo, omettendo l'indicazione delle fasi intermedie e dei relativi timestamp orari di completamento.",E1,2,"Original ID: PD15; valutatori: EU1, ED1",2.0,8,B,1
P013,Deliveroo,Carenza di gerarchia visiva ed elementi di separazione nella Home,La pagina principale presenta raggruppamenti di contenuti e card informative privi di una chiara demarcazione strutturale e spaziale.,E8,6,"Original ID: PD13; valutatori: EU1, ED1, EU2, ED2, EU3, ED3",1.75,8,C,2
P011,Deliveroo,Conflitto di navigazione bidimensionale (Scroll asincrono),"L'applicazione adotta contemporaneamente e nella stessa schermata pattern di scorrimento sia verticali sia orizzontali, incrementando il carico cognitivo e la possibilità di interazioni errate accidentali.",E8,2,"Original ID: PD11; valutatori: EU2, ED3",1.75,8,C,2
P014,Deliveroo,Ambiguità e duplicazione nel set iconografico del Design System,"All'interno dei menu di ricerca vengono impiegate icone identiche o fortemente ripetitive per rappresentare categorie differenti, riducendone il valore semantico e intuitivo.",E4;E6,2,"Original ID: PD14; valutatori: EU1, ED3",1.62,8,C,2
P008,Deliveroo,Rottura dell'esperienza d'uso nativa (Web View integrata male),"La sezione dedicata alle ""Gift Card"" viene caricata tramite una finestra web nativa (Web View) non ottimizzata, le cui proprietà visive e di navigazione divergono dai pattern grafici dell'applicazione.",E4,1,Original ID: PD08; valutatori: EU3,1.62,8,C,2
P005,Deliveroo,"Incoerenza di layout strutturale nella sezione ""Spesa""","La schermata ""Spesa"" posiziona un banner promozionale al di sopra della barra di ricerca, spezzando il design pattern consolidato nelle restanti sezioni dell'app che prevede la search bar ancorata in alto.",E4,1,Original ID: PD05; valutatori: EU3,1.12,8,C,2
P016,Deliveroo,Codifica cromatica non standard nella schermata di recensione,"All'interno della pagina delle recensioni, l'associazione dei colori ai punteggi non rispetta le convenzioni culturali e i modelli mentali comuni (es. utilizzo del blu in contesti di feedback critici o negativi).",E2,2,"Original ID: PD16; valutatori: EU1, ED1",1.0,8,C,2
