problem_id,app,title,description,heuristic,source_count,notes,severity_mean,ratings_count,priority_band,priority_rank
P026,Glovo,Mancanza di trasparenza informativa,"Il sistema non mette a disposizione tutte le informazioni importanti per l’utente. Ad esempio, nella sezione ""Allergeni"" di ciascun prodotto, non vengono mostrati dati di riferimento esplicitamente: l'utente viene rimandato a canali di contatto esterni (es. telefono del locale), interrompendo il flusso informativo. Anche nei label dei sistema di filtraggio mancano delle informazioni",E7;E10,4,"Original ID: PG06; valutatori: ED1, EU3, ED3, EU4",3.38,8,A,0
P032,Glovo,Assenza di barriere di conferma per transazioni finanziarie gravi,"Il pulsante di finalizzazione dell'ordine esegue l'addebito economico in modo immediato e automatico con un singolo tocco, senza presentare una finestra di dialogo intermedia per la prevenzione di tocchi d'errore.",E3;E5,3,"Original ID: PG12; valutatori: EU1, ED1, ED2",3.38,8,A,0
P030,Glovo,Assenza di un'interfaccia di consultazione per i partner preferiti,"L'interfaccia consente all'utente di contrassegnare un ristorante come ""Preferito"", ma non fornisce una schermata o una sezione dedicata per consultare la lista degli elementi salvati, annullando l'utilità della funzione.",E3;E7,1,Original ID: PG10; valutatori: EU2,3.12,8,B,1
P034,Glovo,Comando annullamento controintuitivo,"Il comando per richiedere l'annullamento di un ordine non gode di rilevanza visiva ed è subordinato gerarchicamente alla voce ""Aiuto"", ostacolando il diritto dell'utente al controllo tempestivo.",E3,3,"Original ID: PG14; valutatori: EU1, ED1, ED2",3.0,8,B,1
P024,Glovo,"Oscuramento funzionale della sezione ""Link Account"" nel carrello",La sezione che permette di associare account partner per ottenere sconti è posizionata in fondo alla pagina del carrello e viene interamente nascosta visivamente da un blocco invasivo di prodotti consigliati (upselling).,E6;E8,1,Original ID: PG04; valutatori: EU3,3.0,8,B,1
P033,Glovo,Sovrascrittura arbitraria del sistema sull'indirizzo di consegna selezionato,"Dopo che l'utente ha impostato manualmente un indirizzo specifico e avviato l'ordine, la schermata di checkout resetta la scelta riposizionando la consegna sulla geolocalizzazione attuale del dispositivo, generando gravi rischi di errore.",E3;E5,1,Original ID: PG13; valutatori: EU2,2.88,8,B,1
P039,Glovo,Deficit di trasparenza sui motivi di annullamento d'ufficio dell'ordine,"Qualora un ordine venga annullato direttamente dal sistema o dal locale partner dopo il pagamento, l'applicazione avvia la procedura di rimborso monetario ma omette completamente di mostrare la motivazione diagnostica della cancellazione.",E1;E9,0,Original ID: PG19; valutatori:,2.75,8,B,1
P035,Glovo,Mancanza di feedback sullo stato di accettazione dell'ordine,"In seguito alla finalizzazione dell'acquisto, il sistema non invia una notifica esplicita e tempestiva per confermare che il locale partner abbia effettivamente preso in carico la preparazione, lasciando l'utente in uno stato di incertezza.",E1,1,Original ID: PG15; valutatori: EU1,2.62,8,B,1
P028,Glovo,Mancanza di vincoli sintattici per i campi obbligatori nel checkout,"All'interno della schermata di checkout, alcuni campi di input strettamente necessari per la finalizzazione dell'ordine non sono contrassegnati visivamente come obbligatori, inducendo l'utente all'errore di invio.",E5,2,"Original ID: PG08; valutatori: EU2, EU4",2.38,8,B,1
P038,Glovo,Feedback diagnostico incompleto sui modificatori obbligatori falliti,"In caso di mancata compilazione di un campo obbligatorio, il sistema evidenzia l'area ma non esplicita la natura dell'errore (es. numero di opzioni minime richieste non soddisfatte), impedendo un recupero rapido.",E9,0,Original ID: PG18; valutatori:,2.38,8,B,1
P040,Glovo,Assenza di tolleranza sistemica agli errori ortografici nella ricerca,"La barra di ricerca non integra algoritmi di correzione o suggerimento per i refusi; se l'utente commette un minimo errore di ortografia, il sistema restituisce una schermata vuota di zero risultati, scaricando l'errore sull'utente.",E5;E9,0,Original ID: PG20; valutatori:,2.38,8,B,1
P037,Glovo,Incoerenza informativa e fluttuazioni asincrone nel tracking orario,"Durante la fase di tracking post-acquisto, il tempo stimato di consegna si aggiorna visualizzando variazioni orarie repentine e salti temporali incoerenti, senza fornire all'utente alcuna giustificazione logica o sistemistica del cambiamento.",E1,0,Original ID: PG17; valutatori:,2.25,8,B,1
P029,Glovo,Sistema di filtraggio non conforme agli standard di categoria,"L'architettura dei filtri non segue criteri di ordinamento logici o categorizzati, disorientando l'utente durante la navigazione.",E4;E8,3,"Original ID: PG09; valutatori: EU1, ED1, EU2",2.12,8,B,1
P022,Glovo,Carenza di gerarchia visiva ed elementi di separazione nella Home,La pagina principale presenta raggruppamenti di contenuti e card informative privi di una chiara demarcazione strutturale e spaziale.,E8,4,"Original ID: PG02; valutatori: EU1, ED1, EU2, EU3",2.0,8,B,1
P031,Glovo,Deficit di accessibilità e visibilità per le informative sui costi,"Il collegamento ipertestuale che rimanda alle tabelle di dettaglio sui costi di consegna e sulle commissioni di servizio presenta un contrasto cromatico e una dimensione del font insufficienti, risultando quasi invisibile.",E1;E3,1,Original ID: PG11; valutatori: EU2,2.0,8,B,1
P023,Glovo,Persistenza del carrello non comunicata visivamente,"Se l'utente aggiunge prodotti al carrello all'interno della pagina di un locale e naviga a ritroso verso la Home, il carrello viene memorizzato in background senza alcuna notifica o indicatore grafico persistente nell'interfaccia principale.",E1;E3,4,"Original ID: PG03; valutatori: EU1, ED1, EU3, EU4",1.88,8,C,2
P021,Glovo,Inclusione di feature social estranee al dominio dell'applicazione,"L'applicazione integra una funzionalità per sincronizzare la rubrica telefonica e aggiungere amici. Tale caratteristica risulta irrilevante rispetto al task principale dell'utente (food delivery), sovraccaricando l'architettura informativa con elementi non necessari.",E4,2,"Original ID: PG01; valutatori: EU3, EU4",1.88,8,C,2
P036,Glovo,Carenza di trasparenza e marcatori visivi per i contenuti sponsorizzati,"All'interno della sezione ""Scopri"", i ristoranti che beneficiano di inserzioni pubblicitarie a pagamento vengono inseriti nelle categorie organiche (es. ""Popolari"") senza un label chiaro (es. ""Sponsorizzato"") che li distingua.",E2,1,Original ID: PG16; valutatori: EU4,1.75,8,C,2
P027,Glovo,Conflitto di navigazione bidimensionale (Scroll asincrono),"L'applicazione adotta contemporaneamente e nella stessa schermata pattern di scorrimento sia verticali sia orizzontali, incrementando il carico cognitivo e la possibilità di interazioni errate accidentali.",E8,4,"Original ID: PG07; valutatori: ED1, EU2, ED2, ED3",1.62,8,C,2
P025,Glovo,Ambiguità e ridondanza nel set iconografico del Design System,"All'interno dei menu di ricerca vengono impiegate icone identiche o fortemente ripetitive per rappresentare categorie differenti, riducendone il valore semantico e intuitivo.",E4;E6,4,"Original ID: PG05; valutatori: EU1, ED1, EU3, ED3",1.38,8,C,2
