problem_id,app,screen,heuristic,title,description,source_count,notes,raw_problem_ids,recommendation,impact
P001,Deliveroo,Home,E1;E3,Persistenza del carrello non comunicata visivamente,"Se l'utente aggiunge prodotti al carrello all'interno della pagina di un locale e naviga a ritroso verso la Home, il carrello viene memorizzato in background senza alcuna notifica o indicatore grafico persistente nell'interfaccia principale.",4,"Original ID: PD01; valutatori: EU1, ED1, EU3, EU4",PD01,,
P002,Deliveroo,Checkout / ordine,E4;E5,Frammentazione delle informazioni di configurazione dell'ordine,"Le impostazioni relative a orario di consegna, indirizzo e modalità di pagamento sono frammentate tra la schermata del carrello e la pagina finale di checkout, aumentando il carico procedurale.",4,"Original ID: PD02; valutatori: EU1, ED1, EU2, EU3",PD02,,
P003,Deliveroo,Home,E4,Ridondanza e duplicazione dei punti di inserimento dati,"I campi relativi all'indirizzo e all'orario di consegna risultano configurabili sia nella Home sia durante i successivi passaggi di checkout, generando ridondanza informativa.",2,"Original ID: PD03; valutatori: EU2, EU3",PD03,,
P004,Deliveroo,Generale,E3;E7,"Funzione ""Riordina"" incoerente con il modello mentale dell'utente","La sezione ""Riordina"" suggerisce la possibilità di replicare un acquisto pregresso con un singolo tocco; l'azione reindirizza, invece, alla pagina generale del ristorante, costringendo a reinserire manualmente i prodotti.",3,"Original ID: PD04; valutatori: EU1, ED1, EU3",PD04,,
P005,Deliveroo,Ricerca / filtri,E4,"Incoerenza di layout strutturale nella sezione ""Spesa""","La schermata ""Spesa"" posiziona un banner promozionale al di sopra della barra di ricerca, spezzando il design pattern consolidato nelle restanti sezioni dell'app che prevede la search bar ancorata in alto.",1,Original ID: PD05; valutatori: EU3,PD05,,
P006,Deliveroo,Generale,E8,Sovraffollamento visivo causato da elementi promozionali invasivi,La presenza diffusa di banner pubblicitari non integrati armonicamente nel layout degrada l'esperienza d'uso complessiva e riduce la visibilità dei contenuti informativi primari.,1,Original ID: PD06; valutatori: EU2,PD06,,
P007,Deliveroo,Ricerca / filtri,E4;E8,Sistema di filtraggio non conforme agli standard di categoria,"L'architettura dei filtri non segue criteri di ordinamento logici o categorizzati, disorientando l'utente durante la navigazione.",4,"Original ID: PD07; valutatori: EU1, ED1, EU2, EU3",PD07,,
P008,Deliveroo,Sezione specifica,E4,Rottura dell'esperienza d'uso nativa (Web View integrata male),"La sezione dedicata alle ""Gift Card"" viene caricata tramite una finestra web nativa (Web View) non ottimizzata, le cui proprietà visive e di navigazione divergono dai pattern grafici dell'applicazione.",1,Original ID: PD08; valutatori: EU3,PD08,,
P009,Deliveroo,Checkout / ordine,E6,Scarsa evidenza visiva dei modificatori obbligatori di prodotto,"Durante la configurazione di un articolo da aggiungere al carrello, la distinzione grafica tra i campi di selezione opzionali e quelli strettamente obbligatori risulta insufficiente e ambigua.",5,"Original ID: PD09; valutatori: EU1, ED1, ED2, EU3, EU4",PD09,,
P010,Deliveroo,Generale,E7;E10,Mancanza di trasparenza informativa,"Il sistema non mette a disposizione tutte le informazioni importanti per l’utente. Ad esempio, nella sezione ""Allergeni"" di ciascun prodotto, non vengono mostrati dati di riferimento esplicitamente: l'utente viene rimandato a canali di contatto esterni (es. telefono del locale), interrompendo il flusso informativo.",3,"Original ID: PD10; valutatori: ED1, EU2, EU4",PD10,,
P011,Deliveroo,Generale,E8,Conflitto di navigazione bidimensionale (Scroll asincrono),"L'applicazione adotta contemporaneamente e nella stessa schermata pattern di scorrimento sia verticali sia orizzontali, incrementando il carico cognitivo e la possibilità di interazioni errate accidentali.",2,"Original ID: PD11; valutatori: EU2, ED3",PD11,,
P012,Deliveroo,Checkout / ordine,E3;E5,Assenza di barriere di conferma per transazioni finanziarie gravi,"Il pulsante di finalizzazione dell'ordine esegue l'addebito economico in modo immediato e automatico con un singolo tocco, senza presentare una finestra di dialogo intermedia per la prevenzione di tocchi d'errore.",3,"Original ID: PD12; valutatori: EU1, ED1, ED2",PD12,,
P013,Deliveroo,Home,E8,Carenza di gerarchia visiva ed elementi di separazione nella Home,La pagina principale presenta raggruppamenti di contenuti e card informative privi di una chiara demarcazione strutturale e spaziale.,6,"Original ID: PD13; valutatori: EU1, ED1, EU2, ED2, EU3, ED3",PD13,,
P014,Deliveroo,Ricerca / filtri,E4;E6,Ambiguità e duplicazione nel set iconografico del Design System,"All'interno dei menu di ricerca vengono impiegate icone identiche o fortemente ripetitive per rappresentare categorie differenti, riducendone il valore semantico e intuitivo.",2,"Original ID: PD14; valutatori: EU1, ED3",PD14,,
P015,Deliveroo,Checkout / ordine,E1,Mancanza di granularità temporale nella Progress Bar di tracking,"La barra di avanzamento dello stato dell'ordine fornisce un feedback puramente qualitativo, omettendo l'indicazione delle fasi intermedie e dei relativi timestamp orari di completamento.",2,"Original ID: PD15; valutatori: EU1, ED1",PD15,,
P016,Deliveroo,Recensioni,E2,Codifica cromatica non standard nella schermata di recensione,"All'interno della pagina delle recensioni, l'associazione dei colori ai punteggi non rispetta le convenzioni culturali e i modelli mentali comuni (es. utilizzo del blu in contesti di feedback critici o negativi).",2,"Original ID: PD16; valutatori: EU1, ED1",PD16,,
P017,Deliveroo,Checkout / ordine,E3,Comando di annullamento controintuitivo,"Il comando per richiedere l'annullamento di un ordine non gode di rilevanza visiva ed è subordinato gerarchicamente alla voce ""Aiuto"", ostacolando il diritto dell'utente al controllo tempestivo.",3,"Original ID: PD17; valutatori: EU1, ED1, EU4",PD17,,
P018,Deliveroo,Home,E8,Ridondanza di posizionamento (duplicazione dei brand sponsorizzati),"Nella lista dei ristoranti popolari in Home, i marchi partner sponsorizzati possono comparire ripetuti più volte all'interno dello stesso elenco, violando il principio di minimalizzazione dei dati.",1,Original ID: PD18; valutatori: EU4,PD18,,
P019,Deliveroo,Ricerca / filtri,E1;E6,Stato di operatività dei locali non facilmente visibile,"Nella schermata principale e nei risultati di ricerca, l'applicazione non differenzia in modo visivamente netto e immediato i partner commerciali momentaneamente chiusi da quelli attivi, aumentando il carico visivo e costringendo alla lettura analitica delle singole card.",0,Original ID: PD19; valutatori:,PD19,,
P020,Deliveroo,Generale,E9,Feedback diagnostico incompleto sui campi obbligatori falliti,"In caso di mancata compilazione di un campo obbligatorio, il sistema evidenzia l'area ma non esplicita la natura dell'errore (es. numero di opzioni minime richieste non soddisfatte), impedendo un recupero rapido.",0,Original ID: PD20; valutatori:,PD20,,
P021,Glovo,Generale,E4,Inclusione di feature social estranee al dominio dell'applicazione,"L'applicazione integra una funzionalità per sincronizzare la rubrica telefonica e aggiungere amici. Tale caratteristica risulta irrilevante rispetto al task principale dell'utente (food delivery), sovraccaricando l'architettura informativa con elementi non necessari.",2,"Original ID: PG01; valutatori: EU3, EU4",PG01,,
P022,Glovo,Home,E8,Carenza di gerarchia visiva ed elementi di separazione nella Home,La pagina principale presenta raggruppamenti di contenuti e card informative privi di una chiara demarcazione strutturale e spaziale.,4,"Original ID: PG02; valutatori: EU1, ED1, EU2, EU3",PG02,,
P023,Glovo,Home,E1;E3,Persistenza del carrello non comunicata visivamente,"Se l'utente aggiunge prodotti al carrello all'interno della pagina di un locale e naviga a ritroso verso la Home, il carrello viene memorizzato in background senza alcuna notifica o indicatore grafico persistente nell'interfaccia principale.",4,"Original ID: PG03; valutatori: EU1, ED1, EU3, EU4",PG03,,
P024,Glovo,Checkout / ordine,E6;E8,"Oscuramento funzionale della sezione ""Link Account"" nel carrello",La sezione che permette di associare account partner per ottenere sconti è posizionata in fondo alla pagina del carrello e viene interamente nascosta visivamente da un blocco invasivo di prodotti consigliati (upselling).,1,Original ID: PG04; valutatori: EU3,PG04,,
P025,Glovo,Ricerca / filtri,E4;E6,Ambiguità e ridondanza nel set iconografico del Design System,"All'interno dei menu di ricerca vengono impiegate icone identiche o fortemente ripetitive per rappresentare categorie differenti, riducendone il valore semantico e intuitivo.",4,"Original ID: PG05; valutatori: EU1, ED1, EU3, ED3",PG05,,
P026,Glovo,Ricerca / filtri,E7;E10,Mancanza di trasparenza informativa,"Il sistema non mette a disposizione tutte le informazioni importanti per l’utente. Ad esempio, nella sezione ""Allergeni"" di ciascun prodotto, non vengono mostrati dati di riferimento esplicitamente: l'utente viene rimandato a canali di contatto esterni (es. telefono del locale), interrompendo il flusso informativo. Anche nei label dei sistema di filtraggio mancano delle informazioni",4,"Original ID: PG06; valutatori: ED1, EU3, ED3, EU4",PG06,,
P027,Glovo,Generale,E8,Conflitto di navigazione bidimensionale (Scroll asincrono),"L'applicazione adotta contemporaneamente e nella stessa schermata pattern di scorrimento sia verticali sia orizzontali, incrementando il carico cognitivo e la possibilità di interazioni errate accidentali.",4,"Original ID: PG07; valutatori: ED1, EU2, ED2, ED3",PG07,,
P028,Glovo,Checkout / ordine,E5,Mancanza di vincoli sintattici per i campi obbligatori nel checkout,"All'interno della schermata di checkout, alcuni campi di input strettamente necessari per la finalizzazione dell'ordine non sono contrassegnati visivamente come obbligatori, inducendo l'utente all'errore di invio.",2,"Original ID: PG08; valutatori: EU2, EU4",PG08,,
P029,Glovo,Ricerca / filtri,E4;E8,Sistema di filtraggio non conforme agli standard di categoria,"L'architettura dei filtri non segue criteri di ordinamento logici o categorizzati, disorientando l'utente durante la navigazione.",3,"Original ID: PG09; valutatori: EU1, ED1, EU2",PG09,,
P030,Glovo,Generale,E3;E7,Assenza di un'interfaccia di consultazione per i partner preferiti,"L'interfaccia consente all'utente di contrassegnare un ristorante come ""Preferito"", ma non fornisce una schermata o una sezione dedicata per consultare la lista degli elementi salvati, annullando l'utilità della funzione.",1,Original ID: PG10; valutatori: EU2,PG10,,
P031,Glovo,Generale,E1;E3,Deficit di accessibilità e visibilità per le informative sui costi,"Il collegamento ipertestuale che rimanda alle tabelle di dettaglio sui costi di consegna e sulle commissioni di servizio presenta un contrasto cromatico e una dimensione del font insufficienti, risultando quasi invisibile.",1,Original ID: PG11; valutatori: EU2,PG11,,
P032,Glovo,Checkout / ordine,E3;E5,Assenza di barriere di conferma per transazioni finanziarie gravi,"Il pulsante di finalizzazione dell'ordine esegue l'addebito economico in modo immediato e automatico con un singolo tocco, senza presentare una finestra di dialogo intermedia per la prevenzione di tocchi d'errore.",3,"Original ID: PG12; valutatori: EU1, ED1, ED2",PG12,,
P033,Glovo,Checkout / ordine,E3;E5,Sovrascrittura arbitraria del sistema sull'indirizzo di consegna selezionato,"Dopo che l'utente ha impostato manualmente un indirizzo specifico e avviato l'ordine, la schermata di checkout resetta la scelta riposizionando la consegna sulla geolocalizzazione attuale del dispositivo, generando gravi rischi di errore.",1,Original ID: PG13; valutatori: EU2,PG13,,
P034,Glovo,Checkout / ordine,E3,Comando annullamento controintuitivo,"Il comando per richiedere l'annullamento di un ordine non gode di rilevanza visiva ed è subordinato gerarchicamente alla voce ""Aiuto"", ostacolando il diritto dell'utente al controllo tempestivo.",3,"Original ID: PG14; valutatori: EU1, ED1, ED2",PG14,,
P035,Glovo,Checkout / ordine,E1,Mancanza di feedback sullo stato di accettazione dell'ordine,"In seguito alla finalizzazione dell'acquisto, il sistema non invia una notifica esplicita e tempestiva per confermare che il locale partner abbia effettivamente preso in carico la preparazione, lasciando l'utente in uno stato di incertezza.",1,Original ID: PG15; valutatori: EU1,PG15,,
P036,Glovo,Checkout / ordine,E2,Carenza di trasparenza e marcatori visivi per i contenuti sponsorizzati,"All'interno della sezione ""Scopri"", i ristoranti che beneficiano di inserzioni pubblicitarie a pagamento vengono inseriti nelle categorie organiche (es. ""Popolari"") senza un label chiaro (es. ""Sponsorizzato"") che li distingua.",1,Original ID: PG16; valutatori: EU4,PG16,,
P037,Glovo,Tracking ordine,E1,Incoerenza informativa e fluttuazioni asincrone nel tracking orario,"Durante la fase di tracking post-acquisto, il tempo stimato di consegna si aggiorna visualizzando variazioni orarie repentine e salti temporali incoerenti, senza fornire all'utente alcuna giustificazione logica o sistemistica del cambiamento.",0,Original ID: PG17; valutatori:,PG17,,
P038,Glovo,Generale,E9,Feedback diagnostico incompleto sui modificatori obbligatori falliti,"In caso di mancata compilazione di un campo obbligatorio, il sistema evidenzia l'area ma non esplicita la natura dell'errore (es. numero di opzioni minime richieste non soddisfatte), impedendo un recupero rapido.",0,Original ID: PG18; valutatori:,PG18,,
P039,Glovo,Checkout / ordine,E1;E9,Deficit di trasparenza sui motivi di annullamento d'ufficio dell'ordine,"Qualora un ordine venga annullato direttamente dal sistema o dal locale partner dopo il pagamento, l'applicazione avvia la procedura di rimborso monetario ma omette completamente di mostrare la motivazione diagnostica della cancellazione.",0,Original ID: PG19; valutatori:,PG19,,
P040,Glovo,Ricerca / filtri,E5;E9,Assenza di tolleranza sistemica agli errori ortografici nella ricerca,"La barra di ricerca non integra algoritmi di correzione o suggerimento per i refusi; se l'utente commette un minimo errore di ortografia, il sistema restituisce una schermata vuota di zero risultati, scaricando l'errore sull'utente.",0,Original ID: PG20; valutatori:,PG20,,
